jour,temp_high,temp_avg,temp_low,dew_point_high,dew_point_avg,dew_point_low,humidity_high,humidity_avg,humidity_low,speed_high,speed_avg,speed_low,pressure_high,pressure_low,precipitation_acc
1/01/2016,49.4,46.3,44.1,44.1,42.5,40.9,91.0,87.0,80.0,10.0,4.0,0.0,30.27,29.82,
2/01/2016,52.6,49.6,46.7,46.3,44.3,40.9,89.0,82.0,74.0,11.0,6.1,3.0,29.82,29.74,
3/01/2016,48.7,46.4,44.2,45.3,42.2,39.4,91.0,85.0,75.0,11.0,6.4,2.0,29.84,29.22,
4/01/2016,51.9,47.4,44.9,44.3,42.1,40.5,86.0,82.0,73.0,8.0,4.9,2.0,29.3,29.23,
5/01/2016,50.0,46.6,44.1,43.4,41.8,39.8,89.0,83.0,75.0,9.0,5.3,3.0,29.37,29.24,
6/01/2016,50.6,47.8,46.1,44.2,43.0,42.1,89.0,83.0,75.0,7.0,3.8,1.0,29.53,29.37,
7/01/2016,54.0,47.8,44.8,47.8,41.2,37.2,93.0,79.0,58.0,16.0,6.7,1.0,29.67,29.18,
8/01/2016,48.5,44.9,41.4,43.4,39.8,36.4,89.0,82.0,74.0,6.0,2.9,0.0,29.7,29.6,
9/01/2016,53.6,47.9,41.6,46.3,43.3,39.4,93.0,84.0,72.0,10.0,5.5,1.0,29.63,29.33,
10/01/2016,48.2,45.2,42.7,43.8,40.7,38.8,88.0,84.0,77.0,8.0,5.3,2.0,29.36,29.3,
11/01/2016,49.4,46.7,43.1,43.5,41.6,39.7,92.0,83.0,72.0,10.0,5.6,3.0,29.34,29.12,
12/01/2016,48.3,45.4,42.9,41.1,38.7,36.1,84.0,78.0,67.0,12.0,6.0,2.0,29.85,29.35,
13/01/2016,46.7,43.4,40.7,38.3,35.9,33.3,84.0,75.0,66.0,11.0,5.2,2.0,30.15,29.86,
14/01/2016,46.7,42.3,39.9,38.9,36.7,31.3,89.0,81.0,70.0,11.0,5.4,1.0,29.99,29.77,
15/01/2016,43.2,39.9,37.9,34.8,31.5,29.0,84.0,72.0,61.0,12.0,6.9,2.0,30.26,29.96,
16/01/2016,43.6,40.1,36.6,35.6,32.2,29.6,85.0,74.0,60.0,9.0,4.5,1.0,30.39,30.26,
17/01/2016,41.7,39.5,35.8,33.8,31.8,28.1,81.0,74.0,59.0,8.0,3.3,0.0,30.38,30.23,
18/01/2016,36.0,33.6,31.9,30.1,24.8,22.6,79.0,70.0,61.0,7.0,4.1,1.0,30.22,29.9,
19/01/2016,35.1,32.1,29.2,28.6,25.3,23.1,81.0,76.0,71.0,7.0,3.3,0.0,30.08,29.93,
20/01/2016,33.8,30.8,26.3,28.3,25.3,22.5,87.0,80.0,75.0,6.0,2.4,0.0,30.23,30.07,
21/01/2016,42.0,34.2,26.3,31.2,27.5,23.2,91.0,77.0,61.0,8.0,3.2,0.0,30.31,30.23,
22/01/2016,48.5,38.9,33.0,45.7,34.3,26.9,92.0,84.0,75.0,9.0,4.3,0.0,30.34,30.18,
23/01/2016,48.7,46.4,44.7,45.9,43.3,41.6,92.0,89.0,83.0,7.0,3.5,0.0,30.59,30.35,
24/01/2016,53.7,49.1,44.3,50.1,45.4,40.8,91.0,87.0,81.0,6.0,3.2,1.0,30.52,30.41,
25/01/2016,57.6,51.4,44.2,49.1,44.2,38.2,87.0,77.0,61.0,7.0,3.5,0.0,30.4,30.26,
26/01/2016,55.2,52.2,49.5,49.3,46.9,45.2,92.0,82.0,72.0,10.0,4.3,0.0,30.37,30.21,
27/01/2016,55.1,52.9,50.9,48.2,46.5,44.5,88.0,79.0,68.0,10.0,6.6,3.0,30.22,30.04,
28/01/2016,52.8,49.4,45.7,48.9,42.4,38.6,89.0,77.0,65.0,9.0,3.4,1.0,30.44,30.06,
29/01/2016,50.1,47.3,43.5,45.2,40.4,35.1,87.0,77.0,69.0,9.0,4.8,1.0,30.44,30.29,
30/01/2016,50.4,48.2,45.9,47.5,43.9,40.5,90.0,85.0,80.0,12.0,6.6,2.0,30.29,29.9,
31/01/2016,57.5,51.4,46.3,53.8,47.7,41.7,93.0,87.0,82.0,10.0,4.5,1.0,30.14,29.91,
1/02/2016,56.7,55.1,53.8,51.1,48.0,46.1,84.0,77.0,70.0,12.0,5.5,2.0,30.3,30.16,
2/02/2016,55.9,51.9,46.9,51.0,47.2,41.8,92.0,84.0,79.0,16.0,4.7,2.0,30.27,30.06,
3/02/2016,47.8,45.3,43.1,42.1,38.7,34.1,84.0,78.0,60.0,13.0,6.1,2.0,30.46,30.13,
4/02/2016,53.4,47.5,42.6,49.1,43.2,36.8,89.0,85.0,79.0,10.0,4.9,2.0,30.48,30.34,
5/02/2016,52.5,51.1,49.3,48.9,47.2,45.4,91.0,86.0,82.0,8.0,3.8,1.0,30.42,30.05,
